 * Serving Flask app 'api'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://192.168.50.138:5004
Press CTRL+C to quit
76.190.196.100 - - [19/Apr/2024 17:06:29] "GET /api/getAllVehicles HTTP/1.1" 200 -
76.190.196.100 - - [19/Apr/2024 17:06:29] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:12:52] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:12:52] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:20:01] "GET /favicon.ico HTTP/1.1" 404 -
131.123.48.80 - - [19/Apr/2024 17:23:32] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:23:32] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:23:40] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:23:40] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:37:26] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:39:28] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:39:36] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:39:37] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:40:07] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:40:19] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:41:28] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:41:31] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:41:31] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:41:48] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:41:48] "GET /api/getAllVehicles HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:48] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:49] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:49] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:50] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:51] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:51] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:56] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:56] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:56] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:56] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:56] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:46:56] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:48:53] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:48:53] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:48:53] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:48:55] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:48:55] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:48:55] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:48:55] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:48:55] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:48:55] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:49:52] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:49:52] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:49:52] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:05] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:47] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:47] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:48] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:58] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:58] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:58] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:58] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:58] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:51:58] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:52:03] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:52:03] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:52:03] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:52:20] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:52:20] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:52:20] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:53:09] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:53:09] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:53:09] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:53:09] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:53:09] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:53:09] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:54:02] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:54:02] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:54:03] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:03] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:03] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:03] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:03] "GET /api/getVehicleFeatures/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:03] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:04] "GET /api/getVehiclePhotos/ABC123 HTTP/1.1" 200 -
131.123.48.80 - - [19/Apr/2024 17:55:15] "GET /api/getVehicle/ABC123 HTTP/1.1" 200 -
